ein,tax_prd,return_version,form_type,concept,xml_value,pp_value,result,note
030388282,202106,2020v4.1,IRS990EZ,total_revenue,112156,112156,match,
030388282,202106,2020v4.1,IRS990EZ,total_expenses,91040,91040,match,
030388282,202106,2020v4.1,IRS990EZ,total_assets_eoy,203367,203367,match,
030388282,202106,2020v4.1,IRS990EZ,total_liabilities_eoy,0,0,match,
030388282,202106,2020v4.1,IRS990EZ,contributions_grants,46115,,mismatch,MISMATCH
030388282,202106,2020v4.1,IRS990EZ,program_service_revenue,51960,,mismatch,MISMATCH
030388282,202206,2021v4.2,IRS990EZ,total_revenue,118529,118529,match,
030388282,202206,2021v4.2,IRS990EZ,total_expenses,125551,125551,match,
030388282,202206,2021v4.2,IRS990EZ,total_assets_eoy,196345,196345,match,
030388282,202206,2021v4.2,IRS990EZ,total_liabilities_eoy,0,0,match,
030388282,202206,2021v4.2,IRS990EZ,contributions_grants,500,,mismatch,MISMATCH
030388282,202206,2021v4.2,IRS990EZ,program_service_revenue,98185,,mismatch,MISMATCH
030388282,202506,2024v5.2,IRS990,total_revenue,225007,,no_pp_row,
030388282,202506,2024v5.2,IRS990,total_expenses,205551,,no_pp_row,
030388282,202506,2024v5.2,IRS990,total_assets_eoy,255769,,no_pp_row,
030388282,202506,2024v5.2,IRS990,total_liabilities_eoy,0,,no_pp_row,
030388282,202506,2024v5.2,IRS990,contributions_grants,76216,,no_pp_row,
030388282,202506,2024v5.2,IRS990,program_service_revenue,128826,,no_pp_row,
042863756,202010,2019v5.2,IRS990,total_revenue,3506188,3506188,match,
042863756,202010,2019v5.2,IRS990,total_expenses,3904795,3904795,match,
042863756,202010,2019v5.2,IRS990,total_assets_eoy,14227960,14227960,match,
042863756,202010,2019v5.2,IRS990,total_liabilities_eoy,3480049,3480049,match,
042863756,202010,2019v5.2,IRS990,contributions_grants,1307623,1307623,match,
042863756,202010,2019v5.2,IRS990,program_service_revenue,1959872,1959872,match,
042863756,202110,2020v4.2,IRS990,total_revenue,6722803,6722803,match,
